seed,geometry,sigma_theta_deg,nav_type,T_FP,v_FP,T_soft,v_at_soft,T_sustain,sustained,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,nis_inlier_frac,nees_inlier_frac,are_fallback_count,P_eig_min,P_cond,wall_time_s
5,crosstrack,0.008,ukf,17510.0,0.0002159309010807699,18600.0,9.912465326630894e-05,20480.0,True,1,0.9520621317621853,0.05901063833345396,1.8428202677170698e-05,6.946994675244475e-07,3.305010875165529,2.9455179266942135,37.3349035935558,37.59646524716846,1.039975171723174e-07,1.911860782526667e-10,0.0027068636318043787,-3.007298886156892e-07,2.0181522240748415,6.950585495714674,0.9956236323851203,1.0,0,1.274980813709527e-29,5029282851.793566,64.8773813000007
5,crosstrack,0.1,ukf,17510.0,0.00021569870989380965,18600.0,9.946169596137474e-05,20490.0,True,1,0.9512587038028923,0.05881302196794138,1.8898235025642114e-05,6.926180150826294e-07,30.060961160945727,10.816586841252805,84.54723111793689,90.3819352886631,1.343770250376112e-06,2.4618853052572773e-09,0.015103122638643602,8.04869132695272e-07,2.018450134734846,6.837848080567398,0.9952589350838804,1.0,0,2.067423695221197e-27,5116946541.150265,64.91650839999784
6,crosstrack,0.001,ukf,17520.0,0.0002151955484093736,18600.0,9.915577501736721e-05,20470.0,True,1,0.9525850522368069,0.05919857004044844,1.857048550298396e-05,7.007161761642577e-07,1.6841444492011954,3.24320192158591,78.00385677861533,78.0894126855151,4.5302803339831794e-08,4.3007968421454815e-11,-0.0038420156982473174,-1.8071463790543192e-06,2.014823122290359,7.164873669254643,0.9961706783369803,0.987782640408461,1,1.9908366359539674e-31,5056597183.875864,65.63292629999341
6,crosstrack,0.008,ukf,17520.0,0.000215420866712331,18600.0,9.931097101577188e-05,20480.0,True,1,0.9523171711759979,0.05929554818525983,1.8802642929032757e-05,7.046151281854795e-07,7.590438966834721,7.491804022072447,101.42607731838824,101.98524918540943,3.642459146644718e-07,3.452143712962469e-10,-0.006966790051188638,-1.8410381966571302e-06,2.014772494096014,7.154877137580645,0.9961706783369803,0.987782640408461,0,1.2888775613002877e-29,5036770835.043459,65.41292259999318
6,crosstrack,0.1,ukf,17530.0,0.00021598074017840314,18610.0,9.951083849796895e-05,20490.0,True,1,0.9523043944265809,0.05954310715273339,1.9795621699201014e-05,7.117810218380659e-07,22.836532342993767,16.50719347983011,140.9197627782096,143.70933924940303,4.612984057507621e-06,4.366249470282323e-09,-0.016554792077572978,-4.685481055651336e-06,2.0147083829267816,7.630824924717699,0.9959883296863603,0.988147337709701,0,2.0604958959798677e-27,5055283775.673345,63.91896430001361
7,crosstrack,0.001,ukf,17510.0,0.00021591313755660318,18600.0,9.906468264944467e-05,20480.0,True,1,0.9523299410819497,0.05905504360497237,1.8426438880652136e-05,6.957316717061865e-07,0.9411553449378857,1.4226361772854017,36.96001991607602,36.999361336014466,1.6174135027180053e-08,1.0261170231387679e-11,0.0019119556606542638,-3.0183101138487505e-07,2.0465869861838635,6.657755377717508,0.9965353756382203,1.0,0,1.8892440624203892e-31,5292759831.534125,63.79568290000316
7,crosstrack,0.008,ukf,17510.0,0.0002158464385144415,18600.0,9.904842202928671e-05,20480.0,True,1,0.9520621317621853,0.05894921051282937,1.8411766316271165e-05,6.925018157290729e-07,5.70242866403244,6.0582774270752,61.71341640961534,62.27171254268159,1.340388747449207e-07,8.746740346162115e-11,0.005453041506459319,1.1053291940503132e-06,2.0468460512726434,6.554222904842028,0.9965353756382203,1.0,0,1.251432418725587e-29,5074415537.409557,64.0455969000177
7,crosstrack,0.1,ukf,17510.0,0.00021634263902208927,18600.0,9.9636147671359e-05,20500.0,True,1,0.950990894483128,0.05889576764993063,1.956974430826926e-05,6.948405630256137e-07,28.208534030993402,11.084591657211837,89.18721742577125,94.19633388055311,1.6678479909185733e-06,1.0867175970260334e-09,0.012662963464311398,1.9826893111121425e-06,2.0468422376073856,6.511567456674128,0.9965353756382203,1.0,0,1.985655865771559e-27,5041272813.072538,63.90250759999617
8,crosstrack,0.001,ukf,17520.0,0.0002151985701895154,18600.0,9.916834430547623e-05,20480.0,True,1,0.9523171711759979,0.05915753494148342,1.85113043961528e-05,6.990327368985906e-07,1.0244105581430745,1.5653006569302033,28.26064439848594,28.322492915629727,2.4626998610565193e-08,3.093202554418412e-11,-0.002072629680579512,-3.4533932043709354e-06,2.008638243159065,8.211345303728342,0.9978118161925602,0.9990882567469,0,2.020698997674079e-31,4975543244.994039,63.974237699992955
8,crosstrack,0.008,ukf,17520.0,0.00021546501654074742,18600.0,9.934172836193848e-05,20470.0,True,1,0.9528529332976159,0.05931411462886761,1.8649066243370432e-05,7.035164048892136e-07,7.239338790676892,6.425153326632159,70.30036914684686,70.9635999902758,1.978896846514096e-07,2.4929252722945726e-10,-0.0077627952873122255,-7.790374050931445e-06,2.008786015204507,8.083572942959009,0.9974471188913202,0.9990882567469,0,1.3097835546589096e-29,4990401779.019098,63.60767909997958
