time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.204561,1.13654018e+03,1.56572556e-04,7.78630450e-05,7.64958154e+06
0.205655,1.13021660e+03,1.63639874e-04,8.14558572e-05,7.18156274e+06
0.206749,1.12378974e+03,1.71076128e-04,8.51501377e-05,7.37440221e+06
0.207843,1.11726263e+03,1.78496221e-04,8.89255377e-05,8.45796146e+06
0.208937,1.11063842e+03,1.86524794e-04,9.27646789e-05,8.58978401e+06
0.210031,1.10392048e+03,1.94484689e-04,9.66522457e-05,7.16614130e+06
0.211125,1.09711233e+03,2.01976414e-04,1.00578613e-04,6.66031450e+06
0.212219,1.09021752e+03,2.09971337e-04,1.04534321e-04,6.82716838e+06
0.213313,1.08323979e+03,2.18004876e-04,1.08509002e-04,6.05835224e+06
0.214407,1.07618295e+03,2.25772736e-04,1.12496395e-04,5.34977452e+06
0.215500,1.06905092e+03,2.33876163e-04,1.16490608e-04,4.53291543e+06
0.216594,1.06184784e+03,2.42111877e-04,1.20485521e-04,5.52533483e+06
0.217688,1.05457785e+03,2.50298087e-04,1.24475107e-04,6.23553454e+06
0.218782,1.04724525e+03,2.58410061e-04,1.28455612e-04,5.55042995e+06
0.219876,1.03985453e+03,2.66448263e-04,1.32424999e-04,5.46896295e+06
0.220970,1.03241021e+03,2.74344495e-04,1.36380252e-04,5.38394844e+06
0.222064,1.02491692e+03,2.82461265e-04,1.40319037e-04,6.36194830e+06
0.223158,1.01737946e+03,2.90365481e-04,1.44238440e-04,5.93592029e+06
0.224252,1.00980268e+03,2.97976569e-04,1.48138049e-04,5.31929131e+06
0.225346,1.00219155e+03,3.05696630e-04,1.52017425e-04,4.07096998e+06
0.226440,9.94551173e+02,3.13391379e-04,1.55876031e-04,4.98695879e+06
0.227533,9.86886678e+02,3.21296411e-04,1.59711041e-04,4.67362231e+06
0.228627,9.79203216e+02,3.29102477e-04,1.63521964e-04,4.70724638e+06
0.229721,9.71506071e+02,3.36719262e-04,1.67308766e-04,3.89259741e+06
0.230815,9.63800649e+02,3.44102445e-04,1.71072670e-04,4.01787221e+06
0.231909,9.56092475e+02,3.51664337e-04,1.74814011e-04,3.84160701e+06
0.233003,9.48387211e+02,3.59365139e-04,1.78533631e-04,4.35137042e+06
