seed,geometry,sigma_theta_deg,T_FP,v_FP,radial_closure_rate_FP,T_soft,v_at_soft,T_sustain,sustained,max_dist_after_FP,min_dist_after_FP,exit_count,time_in_sphere_frac,total_delta_v,peak_accel,control_energy,rmse_pos_x,rmse_pos_y,rmse_pos_z,rmse_dist,final_pos_err,final_vel_err,est_dist_bias,est_radial_vel_bias,nis_mean,nees_mean,are_fallback_count,controller_mean_step_ms
6,radial,0.1,20570.0,5.14419542744096e-05,4.180935774447475e-05,20570.0,5.14419542744096e-05,20570.0,True,0.09978974344738972,3.6530942833122966e-07,0,1.0,0.10845979378736345,0.00012312946207235093,6.9449589333318e-06,117.5414767909555,17.459790142708307,9.045996023339411,119.17496835359519,3.6755728639712198e-06,4.8335395405846705e-09,0.01118716756750717,1.0730860312854912e-05,2.0131015206068317,7.273506896503251,0,3.515530415911436
7,radial,0.008,20510.0,5.100348083054005e-05,4.132282587565457e-05,20510.0,5.100348083054005e-05,20510.0,True,0.09961132646243477,4.312645525223815e-07,0,1.0,0.10781523831945197,0.00012906557064334447,6.92622663249015e-06,122.91268751646986,3.1801922188065332,4.611213709843501,123.0402603498049,3.608005586174175e-08,5.521850770064942e-11,0.008801542524606121,9.502975702311285e-06,2.047741092517457,5.903578569488065,0,3.502064916057681
8,radial,0.001,20490.0,5.353966030214075e-05,4.402853837924814e-05,20490.0,5.353966030214075e-05,20490.0,True,0.09999985119997273,4.4953579170241697e-07,0,1.0,0.1097387799282083,0.00012217711536600406,6.837920354540256e-06,23.2470693290103,0.43359635129529417,0.6834090919396013,23.261154016312556,3.20147479423497e-08,4.447266895776579e-11,-0.00033197426563667863,-1.3079594793407987e-06,2.0061693783374572,7.045920035288215,0,3.5252710247634287
8,radial,0.008,20500.0,5.31291805705633e-05,4.364702242482279e-05,20500.0,5.31291805705633e-05,20500.0,True,0.09965257904432494,4.4786923692814194e-07,0,1.0,0.10945947814941341,0.0001217321894940586,6.849952841448176e-06,34.20551753544279,2.744144439299471,1.9544877586717673,34.37103113044501,2.4979282244951984e-07,3.4464951685919984e-10,0.0008713559692050529,-1.1539814385143598e-06,2.006377856169802,7.084374543821275,0,3.484992213763502
7,radial,0.1,20650.0,4.966691815290899e-05,3.935804189111293e-05,20650.0,4.966691815290899e-05,20650.0,True,0.09973696918255454,3.611999559840163e-07,0,1.0,0.10736876773462956,0.00012906557064334447,7.07980870426644e-06,173.7874236358141,26.13891065264919,13.205064123263123,176.23758107333575,1.0666229523419088e-06,1.5708311642160298e-09,0.018523713056352413,2.3168801132414398e-05,2.0474959300065305,5.763723965077296,0,3.4761611962067946
7,radial,0.001,20490.0,5.2038970341199114e-05,4.247379379889339e-05,20490.0,5.2038970341199114e-05,20490.0,True,0.09968877673177202,4.4722373490751284e-07,0,1.0,0.1085256279265783,0.00012974579886584786,6.8777337444522205e-06,92.5179961392373,0.44821783319783043,1.8318315746909328,92.53721476121895,3.4055218823114054e-09,5.1648013123967134e-12,0.004817507826777297,4.405827374572377e-06,2.0484973562100324,5.91348639782286,0,3.528341848942114
8,radial,0.1,20540.0,5.2202914256981515e-05,4.253653973105582e-05,20540.0,5.2202914256981515e-05,20540.0,True,0.09988866721772384,4.555230598699438e-07,0,1.0,0.1088579578089658,0.00012159006782976075,6.9263733208893525e-06,76.01750279762035,19.009318017777883,8.993293969086128,78.87264569863011,3.046188423269732e-06,4.185809230153061e-09,0.004838672524436893,8.668635005867577e-07,2.0063597938102316,7.175760397909211,0,3.499599580768408
9,radial,0.008,20490.0,5.469485276574876e-05,4.5250330165938625e-05,20490.0,5.469485276574876e-05,20490.0,True,0.09984820007629462,4.766121151676782e-07,0,1.0,0.1107567079003083,0.00011060908084819101,6.823363784807643e-06,92.54293196927097,1.5102669003274238,2.5673347899291326,92.59085468610236,1.559523563603559e-07,1.551315616601203e-10,-0.005363056198503949,-2.8073002292468255e-06,2.0124016685384,3.5592411812120597,0,3.5440485047302235
9,radial,0.001,20490.0,5.4571233581790814e-05,4.511424675057624e-05,20490.0,5.4571233581790814e-05,20490.0,True,0.09992657715479483,4.6533366609885156e-07,0,1.0,0.11062519989803123,0.00011322905419546853,6.825395919350123e-06,82.86756408048302,0.32419174506190584,1.8262931203057577,82.88832018735691,1.7948871268371467e-08,1.7531898889171324e-11,-0.004476151355198895,-3.4768454539536083e-06,2.0173543884267833,3.5856640468854355,0,3.5024840813806897
9,radial,0.1,20420.0,5.578950723824379e-05,4.662148744592365e-05,20420.0,5.578950723824379e-05,20420.0,True,0.09957676022401851,6.075529342982319e-07,0,1.0,0.11217414199631888,0.00010806506494001184,6.760049747977984e-06,142.11520924311398,12.787218976164413,9.261655898850824,142.98959380789628,2.36657532536705e-06,2.388560750875771e-09,-0.013753772222783409,-1.170863725691617e-05,2.0122286770144933,4.365693368769104,0,3.4691076409262314
0,alongtrack,0.001,17570.0,7.343261496692841e-05,3.9200717642803294e-05,17570.0,7.343261496692841e-05,17570.0,True,0.09988118059714082,1.9913669350902053e-06,0,1.0,0.029564383255510217,1.2474148139623628e-05,1.65177674443913e-07,1.7470568497006416,26.86518757437226,1.005621700463249,26.940708714633583,1.9806065128683425e-08,1.6477394210461798e-11,0.0023410981913255815,2.363787755932837e-07,2.0226700034033107,6.398658366667228,0,3.7973646607965703
