time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.177214,1.09831714e+03,-3.99751767e+00,1.22838695e+00,-1.09763174e+00,1.79103983e-03,6.89977465e-03,1.82945117e-03,9.40583595e-03,2.08909163e-04
0.178854,1.09206015e+03,-3.98394459e+00,1.37401669e+00,-9.84438492e-01,1.67932163e-03,7.04772648e-03,2.35867322e-03,9.32926921e-03,1.94258365e-04
0.180495,1.08552173e+03,-3.90896237e+00,1.52823914e+00,-9.88822302e-01,2.00221392e-03,7.07324302e-03,2.02628894e-03,9.24939524e-03,1.80883800e-04
0.182136,1.07870549e+03,-3.82696581e+00,1.66799546e+00,-8.97815662e-01,2.32255981e-03,6.94733825e-03,2.34989675e-03,9.16641450e-03,1.68663592e-04
0.183777,1.07161531e+03,-3.77768843e+00,1.79998384e+00,-8.62573180e-01,2.41884347e-03,6.64406021e-03,2.21301620e-03,9.08048323e-03,1.57077453e-04
0.185418,1.06425530e+03,-3.83413548e+00,1.91422698e+00,-8.51121591e-01,1.82556370e-03,6.51501658e-03,1.98312625e-03,8.99172227e-03,1.46427141e-04
0.187059,1.05662988e+03,-3.77746426e+00,2.05302765e+00,-7.93667174e-01,2.06030909e-03,6.41288439e-03,2.03517404e-03,8.90008286e-03,1.37539372e-04
0.188700,1.04874381e+03,-3.70828439e+00,2.17144389e+00,-7.28529494e-01,2.23064428e-03,6.42487046e-03,2.21107018e-03,8.80562471e-03,1.30106476e-04
0.190340,1.04060222e+03,-3.72671475e+00,2.27636098e+00,-6.35276189e-01,1.88555154e-03,6.25119413e-03,2.53959406e-03,8.70853782e-03,1.24082349e-04
0.191981,1.03221051e+03,-3.68282461e+00,2.41921507e+00,-6.49225669e-01,1.99939149e-03,6.10587797e-03,2.10045575e-03,8.60877709e-03,1.19937640e-04
0.193622,1.02357438e+03,-3.62463842e+00,2.55593608e+00,-6.63078726e-01,2.17454898e-03,6.03464229e-03,1.71590611e-03,8.50665606e-03,1.17238832e-04
0.195263,1.01469980e+03,-3.62655078e+00,2.66246769e+00,-6.47892062e-01,1.94329145e-03,5.88321018e-03,1.65257660e-03,8.40195193e-03,1.16553974e-04
0.196904,1.00559310e+03,-3.61115479e+00,2.75724692e+00,-5.63440639e-01,1.86102753e-03,5.57533595e-03,1.97159376e-03,8.29510066e-03,1.16765657e-04
0.198545,9.96260928e+02,-3.48470500e+00,2.85787601e+00,-4.29676074e-01,2.46526381e-03,5.31286657e-03,2.52708799e-03,8.18616079e-03,1.18283130e-04
0.200186,9.86710285e+02,-3.43351628e+00,2.94901074e+00,-3.72880799e-01,2.48868971e-03,5.02318723e-03,2.53453459e-03,8.07519111e-03,1.21576454e-04
0.201827,9.76948464e+02,-3.44141409e+00,3.04701845e+00,-2.77772235e-01,2.11017399e-03,4.98485135e-03,2.78073860e-03,7.96229606e-03,1.25687730e-04
0.203467,9.66983144e+02,-3.40583128e+00,3.14756699e+00,-2.75839293e-01,2.08469623e-03,4.93415364e-03,2.43275621e-03,7.84726727e-03,1.31248717e-04
0.205108,9.56822340e+02,-3.40194945e+00,3.27302734e+00,-3.02483862e-01,1.88091966e-03,4.98808478e-03,1.93443161e-03,7.73058876e-03,1.37525649e-04
0.206749,9.46474382e+02,-3.39482030e+00,3.32498479e+00,-2.29365529e-01,1.71796462e-03,4.52644830e-03,2.16056476e-03,7.61226359e-03,1.44170901e-04
0.208390,9.35947887e+02,-3.29964120e+00,3.44892099e+00,-2.13059530e-01,2.14742342e-03,4.71180699e-03,1.96961170e-03,7.49270742e-03,1.50837543e-04
0.210031,9.25251911e+02,-3.22255283e+00,3.54779713e+00,-1.87928883e-01,2.37835645e-03,4.64345189e-03,1.83799485e-03,7.37159716e-03,1.58018020e-04
0.211672,9.14395857e+02,-3.26439670e+00,3.60560057e+00,-1.37231911e-01,1.79649085e-03,4.13195666e-03,1.86446849e-03,7.24931494e-03,1.65751106e-04
0.213313,9.03389227e+02,-3.34367758e+00,3.68562941e+00,-1.16286889e-01,1.07633188e-03,4.06384766e-03,1.72393253e-03,7.12605941e-03,1.73728432e-04
