time_orbits,dist,err_x,err_y,err_z,err_vx,err_vy,err_vz,P_trace,u_p_norm
0.226440,8.14641360e+02,-3.06192126e+00,4.18630021e+00,2.02662106e-01,1.77632110e-03,3.02489491e-03,1.54479100e-03,6.15386018e-03,2.31279454e-04
0.228080,8.02728769e+02,-3.01881580e+00,4.19917909e+00,2.84882088e-01,1.79845048e-03,2.55593479e-03,1.86657301e-03,6.02675433e-03,2.38446905e-04
0.229721,7.90775643e+02,-2.99475617e+00,4.24757771e+00,2.89033902e-01,1.70999911e-03,2.40474724e-03,1.63905627e-03,5.90004081e-03,2.45480085e-04
0.231362,7.78794978e+02,-2.97422110e+00,4.32523229e+00,3.11342125e-01,1.55088313e-03,2.55543208e-03,1.55612109e-03,5.77373944e-03,2.52073770e-04
0.233003,7.66800148e+02,-2.97723711e+00,4.36646357e+00,3.11800995e-01,1.34742756e-03,2.32796936e-03,1.36488773e-03,5.64790310e-03,2.59225138e-04
0.234644,7.54804604e+02,-3.07062117e+00,4.37970610e+00,4.19954821e-01,5.48374206e-04,2.00024492e-03,1.92994054e-03,5.52312099e-03,2.65945223e-04
0.236285,7.42821991e+02,-2.99168174e+00,4.42300393e+00,4.18299211e-01,1.01982247e-03,1.92490907e-03,1.64030129e-03,5.39941292e-03,2.71674433e-04
0.237926,7.30866308e+02,-3.03299959e+00,4.43170642e+00,5.31109119e-01,6.04878043e-04,1.64871129e-03,2.14951816e-03,5.27663946e-03,2.77908941e-04
0.239566,7.18951778e+02,-2.95979574e+00,4.46252301e+00,5.40865929e-01,1.05901975e-03,1.53504913e-03,1.86405593e-03,5.15515564e-03,2.83525054e-04
0.241207,7.07092790e+02,-2.95092427e+00,4.49235826e+00,5.68420924e-01,1.02125668e-03,1.43768986e-03,1.75589437e-03,5.03497220e-03,2.89292725e-04
0.242848,6.95303926e+02,-2.89388519e+00,4.49795940e+00,5.95723107e-01,1.30771899e-03,1.16501375e-03,1.66866144e-03,4.91644092e-03,2.94412154e-04
0.244489,6.83599850e+02,-2.77926593e+00,4.53324985e+00,5.55041816e-01,1.89510427e-03,1.13476457e-03,1.14266675e-03,4.79946417e-03,2.98799725e-04
0.246130,6.71995483e+02,-2.88489541e+00,4.56528528e+00,5.72665961e-01,8.71133765e-04,1.11318564e-03,1.08211530e-03,4.68437069e-03,3.04270786e-04
0.247771,6.60505584e+02,-2.88804897e+00,4.55863645e+00,6.37940011e-01,7.52309637e-04,8.05264323e-04,1.38616282e-03,4.57130604e-03,3.09034958e-04
