seed,dt,q_scale,F_rel_fro,F_max_abs,P_rel_fro,P_max_abs,P_trace_rel,mean_pos_diff_m,mean_vel_diff_m_s
2,5.0,0.01,6.08362425627896e-07,2.743647691016866e-06,3.4790796759362526e-06,4.813994191489447e-11,2.5824737823646367e-12,0.0,1.939479807224432e-15
2,5.0,0.1,6.08362425627896e-07,2.743647691016866e-06,1.161278198107614e-06,4.813994191489447e-11,8.618897347638885e-13,0.0,1.939479807224432e-15
2,5.0,1.0,6.08362425627896e-07,2.743647691016866e-06,1.515611305903602e-07,4.813994191489447e-11,1.1241489098464383e-13,0.0,1.939479807224432e-15
2,10.0,0.0,6.259997338791368e-07,5.487295382069873e-06,8.94067694984507e-06,9.627988383043152e-11,1.3045789425062075e-11,0.0,0.0
2,10.0,0.01,6.259997338791368e-07,5.487295382069873e-06,6.957978855646121e-06,9.627988383043152e-11,1.0152310857794967e-11,0.0,0.0
2,10.0,0.1,6.259997338791368e-07,5.487295382069873e-06,2.3225362859584157e-06,9.627988383043152e-11,3.3885455264445356e-12,0.0,0.0
2,10.0,1.0,6.259997338791368e-07,5.487295382069873e-06,3.0312191863547784e-07,9.627988383043152e-11,4.425371266912659e-13,0.0,0.0
3,2.0,0.0,3.08544775467343e-07,1.0562726750327296e-06,1.0688287804447796e-06,1.8533321677287062e-11,1.1174049148887503e-12,0.0,4.3368086899420177e-16
3,2.0,0.01,3.08544775467343e-07,1.0562726750327296e-06,8.317958170169792e-07,1.8533321677287062e-11,8.695800778027934e-13,0.0,4.3368086899420177e-16
3,2.0,0.1,3.08544775467343e-07,1.0562726750327296e-06,2.7764287205857135e-07,1.8533321677287062e-11,2.903735491031444e-13,0.0,4.3368086899420177e-16
3,2.0,1.0,3.08544775467343e-07,1.0562726750327296e-06,3.6235743469835843e-08,1.8533321677287062e-11,3.784403117460507e-14,0.0,4.3368086899420177e-16
3,5.0,0.0,3.6362344252011064e-07,2.6406816875818237e-06,2.672047011701915e-06,4.6333304186291444e-11,6.580784114993127e-12,0.0,4.3368086899420177e-16
3,5.0,0.01,3.6362344252011064e-07,2.6406816875818237e-06,2.0794744380681607e-06,4.6333304186291444e-11,5.12106815160636e-12,0.0,4.3368086899420177e-16
3,5.0,0.1,3.6362344252011064e-07,2.6406816875818237e-06,6.941054972375605e-07,4.6333304186291444e-11,1.7093343901966363e-12,0.0,4.3368086899420177e-16
3,5.0,1.0,3.6362344252011064e-07,2.6406816875818237e-06,9.058932999985621e-08,4.6333304186291444e-11,2.2329367786925897e-13,0.0,4.3368086899420177e-16
3,10.0,0.0,3.741654269721104e-07,5.281363375163647e-06,5.343915894829037e-06,9.266660837258289e-11,2.6093252316705488e-11,0.0,3.496446946337351e-15
3,10.0,0.01,3.741654269721104e-07,5.281363375163647e-06,4.15884099253714e-06,9.266660837258289e-11,2.0306224578149805e-11,0.0,3.496446946337351e-15
3,10.0,0.1,3.741654269721104e-07,5.281363375163647e-06,1.3881989744717334e-06,9.266660837258289e-11,6.777893550705434e-12,0.0,3.496446946337351e-15
3,10.0,1.0,3.741654269721104e-07,5.281363375163647e-06,1.8117845526414404e-07,9.266660837258289e-11,8.845156707105372e-13,0.0,3.496446946337351e-15
4,2.0,0.0,5.687268016183168e-07,1.8231263945430246e-06,1.9701251761997607e-06,3.19885089574273e-11,2.603373225075119e-12,0.0,1.939479807224432e-15
4,2.0,0.01,5.687268016183168e-07,1.8231263945430246e-06,1.5332127189579534e-06,3.19885089574273e-11,2.026081508455874e-12,0.0,1.939479807224432e-15
4,2.0,0.1,5.687268016183168e-07,1.8231263945430246e-06,5.117669193096608e-07,3.19885089574273e-11,6.761116032768215e-13,0.0,1.939479807224432e-15
4,2.0,1.0,5.687268016183168e-07,1.8231263945430246e-06,6.679175541934153e-08,3.19885089574273e-11,8.797689904057594e-14,0.0,1.939479807224432e-15
4,5.0,0.0,6.702507808728196e-07,4.557815986429842e-06,4.925266971209619e-06,7.997127238791027e-11,1.5867774091356887e-11,0.0,0.0
4,5.0,0.01,6.702507808728196e-07,4.557815986429842e-06,3.833003956357594e-06,7.997127238791027e-11,1.234854850510294e-11,0.0,0.0
4,5.0,0.1,6.702507808728196e-07,4.557815986429842e-06,1.2794141963873586e-06,7.997127238791027e-11,4.1216626422345685e-12,0.0,0.0
4,5.0,1.0,6.702507808728196e-07,4.557815986429842e-06,1.6697933571274522e-07,7.997127238791027e-11,5.379157267987687e-13,0.0,0.0
4,10.0,0.0,6.896823313828643e-07,9.115631972859684e-06,9.850205604616658e-06,1.5994254477582054e-10,6.324834130934516e-11,0.0,0.0
4,10.0,0.01,6.896823313828643e-07,9.115631972859684e-06,7.665809054967708e-06,1.5994254477582054e-10,4.922100608387628e-11,0.0,0.0
4,10.0,0.1,6.896823313828643e-07,9.115631972859684e-06,2.5588062367536447e-06,1.5994254477582054e-10,1.64288617586145e-11,0.0,0.0
4,10.0,1.0,6.896823313828643e-07,9.115631972859684e-06,3.3395829403766127e-07,1.5994254477582054e-10,2.1442592553974383e-12,0.0,0.0
5,2.0,0.0,9.135933091830101e-08,2.1259635460698515e-07,3.164773002244788e-07,3.730207852577283e-12,9.899589626170605e-14,0.0,8.673617379884035e-16
5,2.0,0.01,9.135933091830101e-08,2.1259635460698515e-07,2.4629248325237e-07,3.730207852577283e-12,7.714016819233417e-14,0.0,8.673617379884035e-16
5,2.0,0.1,9.135933091830101e-08,2.1259635460698515e-07,8.220930066922666e-08,3.730207852577283e-12,2.5813954388274268e-14,0.0,8.673617379884035e-16
5,2.0,1.0,9.135933091830101e-08,2.1259635460698515e-07,1.0729305268301184e-08,3.730207852577283e-12,3.351500915832469e-15,0.0,8.673617379884035e-16
5,5.0,0.0,1.0766794930376881e-07,5.314908865174629e-07,7.911858663353278e-07,9.325519631443197e-12,3.474478937136755e-13,0.0,3.576224061345498e-15
5,5.0,0.01,1.0766794930376881e-07,5.314908865174629e-07,6.157267359414494e-07,9.325519631443197e-12,2.7008880896940597e-13,0.0,3.576224061345498e-15
5,5.0,0.1,1.0766794930376881e-07,5.314908865174629e-07,2.0552275343541515e-07,9.325519631443197e-12,9.014799522669748e-14,0.0,3.576224061345498e-15
5,5.0,1.0,1.0766794930376881e-07,5.314908865174629e-07,2.682325468898113e-08,9.325519631443197e-12,1.1730249494076082e-14,0.0,3.576224061345498e-15
5,10.0,0.0,1.1078940519486483e-07,1.0629817728903654e-06,1.5823189891066144e-06,1.8651039260349948e-11,1.2352718992342726e-12,0.0,3.878959614448864e-15
5,10.0,0.01,1.1078940519486483e-07,1.0629817728903654e-06,1.231421527687149e-06,1.8651039260349948e-11,9.611145466808246e-13,0.0,3.878959614448864e-15
5,10.0,0.1,1.1078940519486483e-07,1.0629817728903654e-06,4.1104194772079844e-07,1.8651039260349948e-11,3.208652345963603e-13,0.0,3.878959614448864e-15
5,10.0,1.0,1.1078940519486483e-07,1.0629817728903654e-06,5.3646448748401876e-08,1.8651039260349948e-11,4.189370085470807e-14,0.0,3.878959614448864e-15
